198,214,232,214,198,295,232,295
197,214,231,214,197,295,231,295
195,214,229,214,195,295,229,295
193,214,227,214,193,295,227,295
190,217,224,217,190,298,224,298
188,221,222,221,188,302,222,302
186,224,220,224,186,305,220,305
186,227,220,227,186,308,220,308
181,234,215,234,181,315,215,315
187,233,221,233,187,314,221,314
186,232,220,232,186,313,220,313
188,233,222,233,188,314,222,314
191,231,225,231,191,312,225,312
193,230,227,230,193,311,227,311
196,230,230,230,196,311,230,311
196,230,230,230,196,311,230,311
200,226,234,226,200,307,234,307
204,225,238,225,204,306,238,306
205,223,239,223,205,304,239,304
208,222,242,222,208,303,242,303
209,222,243,222,209,303,243,303
215,223,249,223,215,304,249,304
218,227,252,227,218,308,252,308
222,227,256,227,222,308,256,308
224,231,258,231,224,312,258,312
228,230,262,230,228,311,262,311
231,234,265,234,231,315,265,315
234,235,268,235,234,316,268,316
239,234,273,234,239,315,273,315
246,233,280,233,246,314,280,314
250,233,284,233,250,314,284,314
255,233,289,233,255,314,289,314
258,232,292,232,258,313,292,313
263,231,297,231,263,312,297,312
266,229,300,229,266,310,300,310
269,232,303,232,269,313,303,313
273,232,307,232,273,313,307,313
275,233,309,233,275,314,309,314
279,235,313,235,279,316,313,316
283,236,317,236,283,317,317,317
286,240,320,240,286,321,320,321
291,244,325,244,291,325,325,325
293,243,327,243,293,324,327,324
295,243,329,243,295,324,329,324
295,241,329,241,295,322,329,322
295,239,329,239,295,320,329,320
294,238,328,238,294,319,328,319
294,238,328,238,294,319,328,319
293,238,327,238,293,319,327,319
291,237,325,237,291,318,325,318
290,239,324,239,290,320,324,320
287,237,321,237,287,318,321,318
290,237,324,237,290,318,324,318
286,234,320,234,286,315,320,315
281,231,315,231,281,312,315,312
283,234,317,234,283,315,317,315
282,234,316,234,282,315,316,315
282,237,316,237,282,318,316,318
278,238,312,238,278,319,312,319
275,239,309,239,275,320,309,320
273,241,307,241,273,322,307,322
272,242,306,242,272,323,306,323
265,242,299,242,265,323,299,323
262,241,296,241,262,322,296,322
257,241,291,241,257,322,291,322
248,243,282,243,248,324,282,324
243,243,277,243,243,324,277,324
242,243,276,243,242,324,276,324
234,245,268,245,234,326,268,326
232,246,266,246,232,327,266,327
228,242,262,242,228,323,262,323
221,242,255,242,221,323,255,323
216,241,250,241,216,322,250,322
205,240,239,240,205,321,239,321
200,237,234,237,200,318,234,318
189,237,223,237,189,318,223,318
184,238,218,238,184,319,218,319
178,239,212,239,178,320,212,320
176,239,210,239,176,320,210,320
168,236,202,236,168,317,202,317
167,238,201,238,167,319,201,319
161,238,195,238,161,319,195,319
155,234,189,234,155,315,189,315
150,233,184,233,150,314,184,314
145,231,179,231,145,312,179,312
137,229,171,229,137,310,171,310
136,229,170,229,136,310,170,310
132,228,166,228,132,309,166,309
127,227,161,227,127,308,161,308
124,229,158,229,124,310,158,310
122,229,156,229,122,310,156,310
122,226,156,226,122,307,156,307
115,221,149,221,115,302,149,302
115,222,149,222,115,303,149,303
111,220,145,220,111,301,145,301
110,218,144,218,110,299,144,299
112,217,146,217,112,298,146,298
113,212,147,212,113,293,147,293
113,214,147,214,113,295,147,295
116,213,150,213,116,294,150,294
117,213,151,213,117,294,151,294
119,212,153,212,119,293,153,293
118,212,152,212,118,293,152,293
122,208,156,208,122,289,156,289
123,209,157,209,123,290,157,290
123,205,157,205,123,286,157,286
127,205,161,205,127,286,161,286
128,204,162,204,128,285,162,285
132,204,166,204,132,285,166,285
137,205,171,205,137,286,171,286
140,205,174,205,140,286,174,286
144,203,178,203,144,284,178,284
146,202,180,202,146,283,180,283
149,200,183,200,149,281,183,281
154,194,188,194,154,275,188,275
156,195,190,195,156,276,190,276
162,194,196,194,162,275,196,275
163,193,197,193,163,274,197,274
167,193,201,193,167,274,201,274
171,191,205,191,171,272,205,272
175,192,209,192,175,273,209,273
180,192,214,192,180,273,214,273
183,193,217,193,183,274,217,274
186,190,220,190,186,271,220,271
187,186,221,186,187,267,221,267
190,182,224,182,190,263,224,263
194,182,228,182,194,263,228,263
194,180,228,180,194,261,228,261
197,179,231,179,197,260,231,260
201,182,235,182,201,263,235,263
205,179,239,179,205,260,239,260
205,181,239,181,205,262,239,262
208,180,242,180,208,261,242,261
211,179,245,179,211,260,245,260
212,176,246,176,212,257,246,257
214,174,248,174,214,255,248,255
213,171,247,171,213,252,247,252
215,169,249,169,215,250,249,250
217,169,251,169,217,250,251,250
